Time Bucket,Market,Entry Date,Exit Date,Days Held,Win,P&L,P&L %,Volume
7-30d,Michigan Senate Election Winner,2024-10-26,2024-11-05,10,No,-8.04,-8.0,676897.32
7-30d,Michigan Senate Election Winner,2024-10-16,2024-11-05,20,No,-8.58,-8.6,676897.32
>30d,Michigan Senate Election Winner,2024-10-06,2024-11-05,30,Yes,8.32,8.3,676897.32
>30d,Michigan Senate Election Winner,2024-09-06,2024-11-05,60,Yes,9.31,9.3,676897.32
>30d,Michigan Senate Election Winner,2024-08-07,2024-11-05,90,Yes,7.99,8.0,676897.32
<3d,Trump's worst state on March 19?,2024-03-18,2024-03-19,1,No,-9.37,-9.4,16201.25
<3d,Trump's worst state on March 19?,2024-03-17,2024-03-19,2,Yes,9.43,9.4,16201.25
3-7d,Trump's worst state on March 19?,2024-03-14,2024-03-19,5,Yes,8.49,8.5,16201.25
7-30d,Trump's worst state on March 19?,2024-03-09,2024-03-19,10,Yes,8.14,8.1,16201.25
7-30d,Trump's worst state on March 19?,2024-02-28,2024-03-19,20,No,-8.06,-8.1,16201.25
>30d,Trump's worst state on March 19?,2024-02-18,2024-03-19,30,Yes,8.86,8.9,16201.25
>30d,Trump's worst state on March 19?,2024-01-19,2024-03-19,60,No,-8.82,-8.8,16201.25
>30d,Trump's worst state on March 19?,2023-12-20,2024-03-19,90,No,-9.99,-10.0,16201.25
<3d,Trump's worst state on March 19?,2024-03-18,2024-03-19,1,Yes,8.41,8.4,65403.93
<3d,Trump's worst state on March 19?,2024-03-17,2024-03-19,2,Yes,9.11,9.1,65403.93
3-7d,Trump's worst state on March 19?,2024-03-14,2024-03-19,5,Yes,9.50,9.5,65403.93
7-30d,Trump's worst state on March 19?,2024-03-09,2024-03-19,10,Yes,9.81,9.8,65403.93
7-30d,Trump's worst state on March 19?,2024-02-28,2024-03-19,20,No,-8.97,-9.0,65403.93
>30d,Trump's worst state on March 19?,2024-02-18,2024-03-19,30,No,-8.42,-8.4,65403.93
>30d,Trump's worst state on March 19?,2024-01-19,2024-03-19,60,Yes,8.88,8.9,65403.93
>30d,Trump's worst state on March 19?,2023-12-20,2024-03-19,90,No,-9.53,-9.5,65403.93
<3d,Trump's worst state on March 19?,2024-03-18,2024-03-19,1,Yes,10.10,10.1,16049.92
<3d,Trump's worst state on March 19?,2024-03-17,2024-03-19,2,No,-8.80,-8.8,16049.92
3-7d,Trump's worst state on March 19?,2024-03-14,2024-03-19,5,Yes,9.72,9.7,16049.92
7-30d,Trump's worst state on March 19?,2024-03-09,2024-03-19,10,No,-7.97,-8.0,16049.92
7-30d,Trump's worst state on March 19?,2024-02-28,2024-03-19,20,No,-9.04,-9.0,16049.92
>30d,Trump's worst state on March 19?,2024-02-18,2024-03-19,30,No,-9.66,-9.7,16049.92
>30d,Trump's worst state on March 19?,2024-01-19,2024-03-19,60,Yes,8.90,8.9,16049.92
>30d,Trump's worst state on March 19?,2023-12-20,2024-03-19,90,Yes,8.76,8.8,16049.92
<3d,Trump's worst state on March 19?,2024-03-18,2024-03-19,1,Yes,8.52,8.5,8374.77
<3d,Trump's worst state on March 19?,2024-03-17,2024-03-19,2,Yes,9.23,9.2,8374.77
3-7d,Trump's worst state on March 19?,2024-03-14,2024-03-19,5,No,-9.27,-9.3,8374.77
7-30d,Trump's worst state on March 19?,2024-03-09,2024-03-19,10,Yes,9.32,9.3,8374.77
7-30d,Trump's worst state on March 19?,2024-02-28,2024-03-19,20,No,-8.94,-8.9,8374.77
>30d,Trump's worst state on March 19?,2024-02-18,2024-03-19,30,No,-9.43,-9.4,8374.77
>30d,Trump's worst state on March 19?,2024-01-19,2024-03-19,60,Yes,8.44,8.4,8374.77
>30d,Trump's worst state on March 19?,2023-12-20,2024-03-19,90,Yes,8.03,8.0,8374.77
<3d,Trump's worst state on March 19?,2024-03-18,2024-03-19,1,No,-8.29,-8.3,52342.39
<3d,Trump's worst state on March 19?,2024-03-17,2024-03-19,2,No,-8.97,-9.0,52342.39
3-7d,Trump's worst state on March 19?,2024-03-14,2024-03-19,5,Yes,7.92,7.9,52342.39
7-30d,Trump's worst state on March 19?,2024-03-09,2024-03-19,10,Yes,8.79,8.8,52342.39
7-30d,Trump's worst state on March 19?,2024-02-28,2024-03-19,20,No,-9.73,-9.7,52342.39
>30d,Trump's worst state on March 19?,2024-02-18,2024-03-19,30,Yes,10.18,10.2,52342.39
>30d,Trump's worst state on March 19?,2024-01-19,2024-03-19,60,Yes,8.91,8.9,52342.39
>30d,Trump's worst state on March 19?,2023-12-20,2024-03-19,90,No,-9.74,-9.7,52342.39
<3d,Trump's best state on March 19?,2024-03-18,2024-03-19,1,Yes,9.04,9.0,12169.79
<3d,Trump's best state on March 19?,2024-03-17,2024-03-19,2,Yes,7.85,7.8,12169.79
3-7d,Trump's best state on March 19?,2024-03-14,2024-03-19,5,Yes,8.49,8.5,12169.79
7-30d,Trump's best state on March 19?,2024-03-09,2024-03-19,10,No,-8.15,-8.1,12169.79
7-30d,Trump's best state on March 19?,2024-02-28,2024-03-19,20,No,-9.26,-9.3,12169.79
>30d,Trump's best state on March 19?,2024-02-18,2024-03-19,30,No,-9.19,-9.2,12169.79
>30d,Trump's best state on March 19?,2024-01-19,2024-03-19,60,Yes,10.09,10.1,12169.79
>30d,Trump's best state on March 19?,2023-12-20,2024-03-19,90,No,-7.37,-7.4,12169.79
<3d,Trump's best state on March 19?,2024-03-18,2024-03-19,1,Yes,8.19,8.2,24965.70
<3d,Trump's best state on March 19?,2024-03-17,2024-03-19,2,Yes,9.16,9.2,24965.70
3-7d,Trump's best state on March 19?,2024-03-14,2024-03-19,5,No,-8.44,-8.4,24965.70
7-30d,Trump's best state on March 19?,2024-03-09,2024-03-19,10,No,-8.74,-8.7,24965.70
7-30d,Trump's best state on March 19?,2024-02-28,2024-03-19,20,No,-8.63,-8.6,24965.70
>30d,Trump's best state on March 19?,2024-02-18,2024-03-19,30,Yes,8.45,8.4,24965.70
>30d,Trump's best state on March 19?,2024-01-19,2024-03-19,60,No,-8.32,-8.3,24965.70
>30d,Trump's best state on March 19?,2023-12-20,2024-03-19,90,No,-9.50,-9.5,24965.70
<3d,Trump's best state on March 19?,2024-03-18,2024-03-19,1,No,-8.68,-8.7,42457.00
<3d,Trump's best state on March 19?,2024-03-17,2024-03-19,2,No,-8.59,-8.6,42457.00
3-7d,Trump's best state on March 19?,2024-03-14,2024-03-19,5,No,-9.11,-9.1,42457.00
7-30d,Trump's best state on March 19?,2024-03-09,2024-03-19,10,No,-10.00,-10.0,42457.00
7-30d,Trump's best state on March 19?,2024-02-28,2024-03-19,20,No,-9.42,-9.4,42457.00
>30d,Trump's best state on March 19?,2024-02-18,2024-03-19,30,No,-9.76,-9.8,42457.00
>30d,Trump's best state on March 19?,2024-01-19,2024-03-19,60,Yes,9.60,9.6,42457.00
>30d,Trump's best state on March 19?,2023-12-20,2024-03-19,90,Yes,10.11,10.1,42457.00
<3d,Trump's best state on March 19?,2024-03-18,2024-03-19,1,No,-8.56,-8.6,9435.82
<3d,Trump's best state on March 19?,2024-03-17,2024-03-19,2,Yes,9.68,9.7,9435.82
3-7d,Trump's best state on March 19?,2024-03-14,2024-03-19,5,No,-8.38,-8.4,9435.82
7-30d,Trump's best state on March 19?,2024-03-09,2024-03-19,10,No,-8.66,-8.7,9435.82
7-30d,Trump's best state on March 19?,2024-02-28,2024-03-19,20,Yes,8.49,8.5,9435.82
>30d,Trump's best state on March 19?,2024-02-18,2024-03-19,30,No,-7.97,-8.0,9435.82
>30d,Trump's best state on March 19?,2024-01-19,2024-03-19,60,No,-8.56,-8.6,9435.82
>30d,Trump's best state on March 19?,2023-12-20,2024-03-19,90,No,-8.90,-8.9,9435.82
<3d,Trump's best state on March 19?,2024-03-18,2024-03-19,1,No,-9.80,-9.8,1564.49
<3d,Trump's best state on March 19?,2024-03-17,2024-03-19,2,No,-9.84,-9.8,1564.49
3-7d,Trump's best state on March 19?,2024-03-14,2024-03-19,5,No,-8.08,-8.1,1564.49
7-30d,Trump's best state on March 19?,2024-03-09,2024-03-19,10,No,-8.60,-8.6,1564.49
7-30d,Trump's best state on March 19?,2024-02-28,2024-03-19,20,No,-8.43,-8.4,1564.49
>30d,Trump's best state on March 19?,2024-02-18,2024-03-19,30,Yes,10.29,10.3,1564.49
>30d,Trump's best state on March 19?,2024-01-19,2024-03-19,60,Yes,8.29,8.3,1564.49
>30d,Trump's best state on March 19?,2023-12-20,2024-03-19,90,No,-9.28,-9.3,1564.49
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,9.05,9.0,7140.36
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,No,-8.27,-8.3,7140.36
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,No,-9.52,-9.5,7140.36
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,No,-9.15,-9.2,7140.36
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,Yes,8.61,8.6,7140.36
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,No,-9.36,-9.4,7140.36
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,No,-8.39,-8.4,7140.36
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,Yes,9.13,9.1,7140.36
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,8.69,8.7,24130.20
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,Yes,7.86,7.9,24130.20
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,Yes,9.48,9.5,24130.20
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,Yes,9.19,9.2,24130.20
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,No,-9.47,-9.5,24130.20
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,No,-10.47,-10.5,24130.20
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,No,-10.23,-10.2,24130.20
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,No,-10.02,-10.0,24130.20
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,No,-8.85,-8.8,7016.84
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,Yes,10.01,10.0,7016.84
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,Yes,8.27,8.3,7016.84
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,No,-9.73,-9.7,7016.84
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,Yes,8.29,8.3,7016.84
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,No,-7.56,-7.6,7016.84
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,No,-9.44,-9.4,7016.84
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,Yes,8.26,8.3,7016.84
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,8.00,8.0,3953.00
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,No,-8.49,-8.5,3953.00
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,No,-10.20,-10.2,3953.00
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,No,-10.01,-10.0,3953.00
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,Yes,8.39,8.4,3953.00
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,No,-7.45,-7.4,3953.00
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,No,-8.37,-8.4,3953.00
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,Yes,9.76,9.8,3953.00
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,8.13,8.1,25952.20
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,Yes,8.30,8.3,25952.20
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,No,-8.12,-8.1,25952.20
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,Yes,10.05,10.0,25952.20
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,No,-8.18,-8.2,25952.20
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,No,-9.03,-9.0,25952.20
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,No,-9.30,-9.3,25952.20
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,Yes,8.32,8.3,25952.20
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,No,-8.58,-8.6,0.00
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,No,-9.29,-9.3,0.00
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,Yes,9.40,9.4,0.00
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,Yes,10.20,10.2,0.00
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,No,-9.06,-9.1,0.00
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,Yes,8.66,8.7,0.00
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,Yes,10.10,10.1,0.00
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,No,-8.99,-9.0,0.00
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,9.82,9.8,9227.00
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,Yes,8.12,8.1,9227.00
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,No,-10.04,-10.0,9227.00
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,No,-7.87,-7.9,9227.00
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,No,-9.30,-9.3,9227.00
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,Yes,9.97,10.0,9227.00
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,Yes,8.74,8.7,9227.00
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,No,-9.74,-9.7,9227.00
<3d,Senegal Presidential Election Winner,2024-03-23,2024-03-24,1,Yes,7.90,7.9,0.00
<3d,Senegal Presidential Election Winner,2024-03-22,2024-03-24,2,No,-9.21,-9.2,0.00
3-7d,Senegal Presidential Election Winner,2024-03-19,2024-03-24,5,No,-8.77,-8.8,0.00
7-30d,Senegal Presidential Election Winner,2024-03-14,2024-03-24,10,Yes,7.71,7.7,0.00
7-30d,Senegal Presidential Election Winner,2024-03-04,2024-03-24,20,Yes,9.64,9.6,0.00
>30d,Senegal Presidential Election Winner,2024-02-23,2024-03-24,30,Yes,9.67,9.7,0.00
>30d,Senegal Presidential Election Winner,2024-01-24,2024-03-24,60,Yes,8.97,9.0,0.00
>30d,Senegal Presidential Election Winner,2023-12-25,2024-03-24,90,No,-10.10,-10.1,0.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-10,2024-03-11,1,No,-8.04,-8.0,2000.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-09,2024-03-11,2,Yes,8.57,8.6,2000.00
3-7d,Mississippi Republican Senate Primary Wi,2024-03-06,2024-03-11,5,No,-9.12,-9.1,2000.00
7-30d,Mississippi Republican Senate Primary Wi,2024-03-01,2024-03-11,10,No,-8.05,-8.1,2000.00
7-30d,Mississippi Republican Senate Primary Wi,2024-02-20,2024-03-11,20,Yes,10.07,10.1,2000.00
>30d,Mississippi Republican Senate Primary Wi,2024-02-10,2024-03-11,30,No,-9.56,-9.6,2000.00
>30d,Mississippi Republican Senate Primary Wi,2024-01-11,2024-03-11,60,Yes,9.47,9.5,2000.00
>30d,Mississippi Republican Senate Primary Wi,2023-12-12,2024-03-11,90,No,-8.85,-8.9,2000.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-10,2024-03-11,1,Yes,9.16,9.2,3000.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-09,2024-03-11,2,No,-7.98,-8.0,3000.00
3-7d,Mississippi Republican Senate Primary Wi,2024-03-06,2024-03-11,5,Yes,8.88,8.9,3000.00
7-30d,Mississippi Republican Senate Primary Wi,2024-03-01,2024-03-11,10,Yes,8.54,8.5,3000.00
7-30d,Mississippi Republican Senate Primary Wi,2024-02-20,2024-03-11,20,Yes,10.46,10.5,3000.00
>30d,Mississippi Republican Senate Primary Wi,2024-02-10,2024-03-11,30,No,-8.57,-8.6,3000.00
>30d,Mississippi Republican Senate Primary Wi,2024-01-11,2024-03-11,60,No,-10.62,-10.6,3000.00
>30d,Mississippi Republican Senate Primary Wi,2023-12-12,2024-03-11,90,No,-9.79,-9.8,3000.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-10,2024-03-11,1,Yes,8.72,8.7,4560.02
<3d,Mississippi Republican Senate Primary Wi,2024-03-09,2024-03-11,2,No,-8.42,-8.4,4560.02
3-7d,Mississippi Republican Senate Primary Wi,2024-03-06,2024-03-11,5,No,-7.62,-7.6,4560.02
7-30d,Mississippi Republican Senate Primary Wi,2024-03-01,2024-03-11,10,Yes,8.27,8.3,4560.02
7-30d,Mississippi Republican Senate Primary Wi,2024-02-20,2024-03-11,20,No,-8.88,-8.9,4560.02
>30d,Mississippi Republican Senate Primary Wi,2024-02-10,2024-03-11,30,No,-9.03,-9.0,4560.02
>30d,Mississippi Republican Senate Primary Wi,2024-01-11,2024-03-11,60,No,-8.46,-8.5,4560.02
>30d,Mississippi Republican Senate Primary Wi,2023-12-12,2024-03-11,90,No,-8.39,-8.4,4560.02
<3d,Mississippi Republican Senate Primary Wi,2024-03-10,2024-03-11,1,No,-9.33,-9.3,0.00
<3d,Mississippi Republican Senate Primary Wi,2024-03-09,2024-03-11,2,No,-9.98,-10.0,0.00
3-7d,Mississippi Republican Senate Primary Wi,2024-03-06,2024-03-11,5,No,-8.36,-8.4,0.00
7-30d,Mississippi Republican Senate Primary Wi,2024-03-01,2024-03-11,10,Yes,9.65,9.7,0.00
7-30d,Mississippi Republican Senate Primary Wi,2024-02-20,2024-03-11,20,No,-9.15,-9.1,0.00
>30d,Mississippi Republican Senate Primary Wi,2024-02-10,2024-03-11,30,Yes,9.60,9.6,0.00
>30d,Mississippi Republican Senate Primary Wi,2024-01-11,2024-03-11,60,No,-10.48,-10.5,0.00
>30d,Mississippi Republican Senate Primary Wi,2023-12-12,2024-03-11,90,No,-8.22,-8.2,0.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,No,-8.17,-8.2,13944.30
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,Yes,9.70,9.7,13944.30
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,No,-8.57,-8.6,13944.30
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,No,-8.91,-8.9,13944.30
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,Yes,9.61,9.6,13944.30
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,Yes,8.68,8.7,13944.30
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,No,-9.35,-9.4,13944.30
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,No,-10.12,-10.1,13944.30
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,No,-8.95,-8.9,200.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,Yes,8.05,8.0,200.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,Yes,8.20,8.2,200.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,Yes,7.87,7.9,200.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,No,-8.43,-8.4,200.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,No,-8.66,-8.7,200.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,Yes,9.29,9.3,200.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,No,-9.29,-9.3,200.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,No,-9.86,-9.9,610.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,Yes,8.94,8.9,610.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,Yes,9.94,9.9,610.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,No,-9.94,-9.9,610.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,No,-8.07,-8.1,610.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,No,-8.71,-8.7,610.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,No,-9.75,-9.7,610.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,Yes,8.46,8.5,610.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,Yes,8.73,8.7,1435.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,No,-8.31,-8.3,1435.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,No,-9.25,-9.2,1435.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,No,-9.17,-9.2,1435.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,Yes,8.95,8.9,1435.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,No,-9.96,-10.0,1435.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,No,-9.70,-9.7,1435.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,Yes,10.70,10.7,1435.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,Yes,9.41,9.4,1625.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,No,-9.21,-9.2,1625.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,No,-8.04,-8.0,1625.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,No,-8.59,-8.6,1625.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,Yes,9.72,9.7,1625.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,Yes,9.38,9.4,1625.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,No,-8.21,-8.2,1625.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,Yes,8.59,8.6,1625.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,Yes,9.46,9.5,400.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,Yes,8.77,8.8,400.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,No,-8.83,-8.8,400.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,No,-9.10,-9.1,400.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,No,-8.04,-8.0,400.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,No,-9.37,-9.4,400.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,No,-9.32,-9.3,400.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,No,-8.06,-8.1,400.00
<3d,Kirk Cousins Next Team,2024-03-10,2024-03-11,1,Yes,8.78,8.8,610.00
<3d,Kirk Cousins Next Team,2024-03-09,2024-03-11,2,Yes,8.29,8.3,610.00
3-7d,Kirk Cousins Next Team,2024-03-06,2024-03-11,5,Yes,9.74,9.7,610.00
7-30d,Kirk Cousins Next Team,2024-03-01,2024-03-11,10,Yes,10.41,10.4,610.00
7-30d,Kirk Cousins Next Team,2024-02-20,2024-03-11,20,Yes,9.03,9.0,610.00
>30d,Kirk Cousins Next Team,2024-02-10,2024-03-11,30,No,-8.74,-8.7,610.00
>30d,Kirk Cousins Next Team,2024-01-11,2024-03-11,60,Yes,9.33,9.3,610.00
>30d,Kirk Cousins Next Team,2023-12-12,2024-03-11,90,Yes,9.92,9.9,610.00
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-14,2024-11-15,1,Yes,9.64,9.6,32399877.16
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-13,2024-11-15,2,Yes,8.57,8.6,32399877.16
3-7d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-10,2024-11-15,5,No,-9.09,-9.1,32399877.16
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-05,2024-11-15,10,No,-9.92,-9.9,32399877.16
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-26,2024-11-15,20,Yes,8.86,8.9,32399877.16
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-16,2024-11-15,30,Yes,9.85,9.8,32399877.16
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-09-16,2024-11-15,60,No,-8.89,-8.9,32399877.16
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-08-17,2024-11-15,90,No,-8.86,-8.9,32399877.16
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-14,2024-11-15,1,Yes,7.82,7.8,14968970.92
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-13,2024-11-15,2,No,-9.63,-9.6,14968970.92
3-7d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-10,2024-11-15,5,No,-9.03,-9.0,14968970.92
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-05,2024-11-15,10,No,-10.03,-10.0,14968970.92
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-26,2024-11-15,20,Yes,9.61,9.6,14968970.92
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-16,2024-11-15,30,No,-8.32,-8.3,14968970.92
