ticker,title,name,category,yes_bid,yes_ask,no_bid,no_ask,last_price,daily_change_pct,weekly_change_pct,volume_cents,volume_dollars,open_interest,close_date,days_to_resolution,expected_value_yes_pct,expected_value_no_pct,is_dip_candidate
KXERUPTSUPER-0-50JAN01,When will a supervolcano next erupt?,"Before Jan 1, 2050",Climate and Weather,13,19,87,81,13,-35,-7.14,24932,249.32,9158,2050-01-01T04:59:00Z,8721,417.7894736842106,22.98765432098765,True
KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Before 2050,Science and Technology,16,20,84,80,16,-20,-5.88,21548,215.48000000000002,16034,2050-01-01T04:59:00Z,8721,392.0,24.5,True
KXPERSONPRESMAM-45,Will  become President of the United States before 2045?,Before 2045,Politics,5,7,95,93,7,0,40,29002,290.02,13950,2045-01-29T15:00:00Z,6924,1302.0000000000002,7.376344086021505,False
KXXISUCCESSOR-45JAN01-DXUE,"Will Ding Xuexiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Ding Xuexiang,Politics,28,29,72,71,29,0,20.83,2522,25.22,970,2045-01-01T04:59:00Z,6895,239.93103448275858,40.02816901408451,False
KXXISUCCESSOR-45JAN01-CJIN,"Will Chen Jining become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Chen Jining,Politics,2,8,98,92,9,0,350,1394,13.94,1372,2045-01-01T04:59:00Z,6895,1127.0,8.521739130434783,False
KXXISUCCESSOR-45JAN01-LQIA,"Will Li Qiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Li Qiang,Politics,14,19,86,81,21,-4.55,61.54,1826,18.26,1406,2045-01-01T04:59:00Z,6895,417.7894736842106,22.98765432098765,False
KXXISUCCESSOR-45JAN01-CQI,"Will Cai Qi become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Cai Qi,Politics,7,16,93,84,9,0,12.5,666,6.66,78,2045-01-01T04:59:00Z,6895,514.5,18.666666666666664,False
KXXISUCCESSOR-45JAN01-LXI,"Will Li Xi become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Li Xi,Politics,8,14,92,86,15,0,50,422,4.22,64,2045-01-01T04:59:00Z,6895,602.0,15.953488372093025,False
KXXISUCCESSOR-45JAN01-YLI,"Will Yin Li become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Yin Li,Politics,0,7,100,93,6,0,500,116,1.16,94,2045-01-01T04:59:00Z,6895,1302.0000000000002,7.376344086021505,False
KXXISUCCESSOR-45JAN01-LGAN,"Will Li Ganjie become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Li Ganjie,Politics,0,5,100,95,5,0,400,98,0.98,76,2045-01-01T04:59:00Z,6895,1862.0,5.157894736842105,False
KXXISUCCESSOR-45JAN01-ZLEJ,"Will Zhao Leji become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Zhao Leji,Politics,7,15,93,85,14,0,100,784,7.84,428,2045-01-01T04:59:00Z,6895,555.3333333333334,17.294117647058822,False
KXXISUCCESSOR-45JAN01-WHUN,"Will Wang Huning become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Wang Huning,Politics,0,6,100,94,1,0,0,50,0.5,48,2045-01-01T04:59:00Z,6895,1535.3333333333333,6.25531914893617,False
KXXISUCCESSOR-45JAN01-HLIF,"Will He Lifeng become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",He Lifeng,Politics,0,6,100,94,5,0,400,130,1.3,106,2045-01-01T04:59:00Z,6895,1535.3333333333333,6.25531914893617,False
KXXISUCCESSOR-45JAN01-MXIN,"Will Ma Xingrui become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Ma Xingrui,Politics,0,5,100,95,5,0,400,46,0.46,44,2045-01-01T04:59:00Z,6895,1862.0,5.157894736842105,False
KXXISUCCESSOR-45JAN01-CMIN,"Will Chen Min'er become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Chen Min'er,Politics,0,5,100,95,5,0,400,46,0.46,44,2045-01-01T04:59:00Z,6895,1862.0,5.157894736842105,False
KXXISUCCESSOR-45JAN01-ZGUO,"Will Zhang Guoqing become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Zhang Guoqing,Politics,0,7,100,93,5,0,400,134,1.34,102,2045-01-01T04:59:00Z,6895,1302.0000000000002,7.376344086021505,False
KXXISUCCESSOR-45JAN01-YYON,"Will Yin Yong become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",Yin Yong,Politics,0,5,100,95,5,0,400,106,1.06,84,2045-01-01T04:59:00Z,6895,1862.0,5.157894736842105,False
KXPERSONPRESFUENTES-45,Will  become President of the United States before 2045?,Before 2045,Politics,16,18,84,82,16,-15.79,-15.79,64468,644.6800000000001,32784,2045-01-08T15:00:00Z,6903,446.4444444444444,21.51219512195122,True
KXNEXTISRAELPM-45JAN01-NBEN,Will Naftali Bennett be the next Prime Minister of Israel?,Naftali Bennett,Politics,40,45,60,55,41,7.89,-12.77,16234,162.34,4380,2045-01-01T15:00:00Z,6896,119.77777777777779,80.18181818181819,False
KXNEXTISRAELPM-45JAN01-YGAL,Will Yoav Gallant be the next Prime Minister of Israel?,Yoav Gallant,Politics,4,11,96,89,11,0,-86.42,1932,19.32,720,2045-01-01T15:00:00Z,6896,792.909090909091,12.112359550561798,False
KXNEXTISRAELPM-45JAN01-YLEV,Will Yariv Levin be the next Prime Minister of Israel?,Yariv Levin,Politics,2,6,98,94,6,0,500,1548,15.48,1468,2045-01-01T15:00:00Z,6896,1535.3333333333333,6.25531914893617,False
KXNEXTISRAELPM-45JAN01-IKAT,Will Israel Katz be the next Prime Minister of Israel?,Israel Katz,Politics,2,5,98,95,5,0,400,514,5.14,500,2045-01-01T15:00:00Z,6896,1862.0,5.157894736842105,False
KXNEXTISRAELPM-45JAN01-BGAN,Will Benny Gantz be the next Prime Minister of Israel?,Benny Gantz,Politics,4,9,96,91,7,0,250,942,9.42,532,2045-01-01T15:00:00Z,6896,990.8888888888889,9.692307692307692,False
KXNEXTISRAELPM-45JAN01-YLAP,Will Yair Lapid be the next Prime Minister of Israel?,Yair Lapid,Politics,5,10,95,90,5,0,-54.55,3272,32.72,1800,2045-01-01T15:00:00Z,6896,882.0,10.888888888888888,False
KXNEXTISRAELPM-45JAN01-GEIS,Will Gadi Eisenkot be the next Prime Minister of Israel?,Gadi Eisenkot,Politics,2,8,98,92,8,0,700,854,8.540000000000001,532,2045-01-01T15:00:00Z,6896,1127.0,8.521739130434783,False
KXNEXTISRAELPM-45JAN01-YCOH,Will Yossi Cohen be the next Prime Minister of Israel?,Yossi Cohen,Politics,4,10,96,90,3,0,0,1900,19.0,610,2045-01-01T15:00:00Z,6896,882.0,10.888888888888888,False
KXNEXTISRAELPM-45JAN01-ALIE,Will Avigdor Lieberman be the next Prime Minister of Israel?,Avigdor Lieberman,Politics,2,5,98,95,5,0,400,354,3.54,196,2045-01-01T15:00:00Z,6896,1862.0,5.157894736842105,False
KXNEXTISRAELPM-45JAN01-YGOL,Will Yair Golan be the next Prime Minister of Israel?,Yair Golan,Politics,2,7,98,93,1,0,0,1206,12.06,1150,2045-01-01T15:00:00Z,6896,1302.0000000000002,7.376344086021505,False
KXNEXTISRAELPM-45JAN01-IBEN,Will Itamar Ben-Gvir be the next Prime Minister of Israel?,Itamar Ben-Gvir,Politics,2,6,98,94,2,0,-60,1304,13.040000000000001,1304,2045-01-01T15:00:00Z,6896,1535.3333333333333,6.25531914893617,False
KXNEXTISRAELPM-45JAN01-BSMO,Will Bezalel Smotrich be the next Prime Minister of Israel?,Bezalel Smotrich,Politics,2,5,98,95,5,0,66.67,438,4.38,438,2045-01-01T15:00:00Z,6896,1862.0,5.157894736842105,False
KXNEXTIRANLEADER-45JAN01-MKHA,Will Mojtaba Khamenei be the next Supreme Leader of Iran?,Mojtaba Khamenei,Politics,19,21,81,79,21,0,-12.5,10080,100.8,6776,2045-01-01T15:00:00Z,6896,368.66666666666663,26.050632911392402,False
KXNEXTIRANLEADER-45JAN01-HKHO,Will Hassan Khomeini be the next Supreme Leader of Iran?,Hassan Khomeini,Politics,11,16,89,84,16,0,0,6560,65.6,3394,2045-01-01T15:00:00Z,6896,514.5,18.666666666666664,False
KXNEXTIRANLEADER-45JAN01-AARA,Will Alireza Arafi be the next Supreme Leader of Iran?,Alireza Arafi,Politics,1,8,99,92,8,0,0,1434,14.34,1180,2045-01-01T15:00:00Z,6896,1127.0,8.521739130434783,False
KXNEXTIRANLEADER-45JAN01-AHEJ,Will Ali Asghar Hejazi be the next Supreme Leader of Iran?,Ali Asghar Hejazi,Politics,0,4,100,96,4,0,0,76,0.76,76,2045-01-01T15:00:00Z,6896,2352.0,4.083333333333333,False
KXNEXTIRANLEADER-45JAN01-HBUS,Will Hashem Hosseini Bushehri be the next Supreme Leader of Iran?,Hashem Hosseini Bushehri,Politics,1,3,99,97,3,0,200,1358,13.58,1132,2045-01-01T15:00:00Z,6896,3168.666666666667,3.0309278350515467,False
KXNEXTIRANLEADER-45JAN01-AKHA,Will Ahmad Khatami be the next Supreme Leader of Iran?,Ahmad Khatami,Politics,1,7,99,93,6,0,500,820,8.2,728,2045-01-01T15:00:00Z,6896,1302.0000000000002,7.376344086021505,False
KXNEXTIRANLEADER-45JAN01-SLAR,Will Sadeq Amoli Larijani be the next Supreme Leader of Iran?,Sadeq Amoli Larijani,Politics,0,4,100,96,4,0,-20,110,1.1,80,2045-01-01T15:00:00Z,6896,2352.0,4.083333333333333,False
KXNEXTIRANLEADER-45JAN01-GMOH,Will Gholam-Hossein Mohseni-Eje'i be the next Supreme Leader of Iran?,Gholam-Hossein Mohseni-Eje'i,Politics,4,9,96,91,4,0,33.33,982,9.82,764,2045-01-01T15:00:00Z,6896,990.8888888888889,9.692307692307692,False
KXNEXTIRANLEADER-45JAN01-MMIR,Will Mohammad Mahdi Mirbagheri be the next Supreme Leader of Iran?,Mohammad Mahdi Mirbagheri,Politics,2,7,98,93,2,0,0,2134,21.34,2102,2045-01-01T15:00:00Z,6896,1302.0000000000002,7.376344086021505,False
KXNEXTIRANLEADER-45JAN01-MARA,Will Mohsen Araki be the next Supreme Leader of Iran?,Mohsen Araki,Politics,1,4,99,96,4,0,0,310,3.1,260,2045-01-01T15:00:00Z,6896,2352.0,4.083333333333333,False
KXNEXTIRANLEADER-45JAN01-MQOM,Will Mohsen Qomi be the next Supreme Leader of Iran?,Mohsen Qomi,Politics,1,8,99,92,1,0,-66.67,2104,21.04,1926,2045-01-01T15:00:00Z,6896,1127.0,8.521739130434783,False
KXNEXTIRANLEADER-45JAN01-ABO,Will Position abolished be the next Supreme Leader of Iran?,Position abolished,Politics,40,45,60,55,40,5.26,11.11,30714,307.14,16278,2045-01-01T15:00:00Z,6896,119.77777777777779,80.18181818181819,False
KXG7LEADEROUT-45JAN01-MCAR,Will Prime Minister of Canada be the first to leave office?,Mark Carney,Politics,0,1,100,99,1,0,-50,3344,33.44,3004,2045-01-01T15:00:00Z,6896,9702.0,0.9898989898989901,False
KXG7LEADEROUT-45JAN01-EMAC,Will President of France be the first to leave office?,Emmanuel Macron,Politics,25,26,75,74,25,0,-21.88,4642,46.42,2770,2045-01-01T15:00:00Z,6896,278.9230769230769,34.432432432432435,False
KXG7LEADEROUT-45JAN01-DJT,Will President of the United States be the first to leave office?,Donald Trump,Politics,3,6,97,94,6,0,100,4376,43.76,3416,2045-01-01T15:00:00Z,6896,1535.3333333333333,6.25531914893617,False
KXG7LEADEROUT-45JAN01-GMEL,Will Prime Minister of Italy be the first to leave office?,Giorgia Meloni,Politics,1,4,99,96,4,0,300,3232,32.32,2244,2045-01-01T15:00:00Z,6896,2352.0,4.083333333333333,False
KXG7LEADEROUT-45JAN01-FMER,Will Chancellor of Germany be the first to leave office?,Friedrich Merz,Politics,0,5,100,95,5,400,400,4116,41.160000000000004,3954,2045-01-01T15:00:00Z,6896,1862.0,5.157894736842105,False
KXG7LEADEROUT-45JAN01-STAK,Will Prime Minister of Japan be the first to leave office?,Sanae Takaichi,Politics,1,3,99,97,3,0,-66.67,5208,52.08,2462,2045-01-01T15:00:00Z,6896,3168.666666666667,3.0309278350515467,False
KXG7LEADEROUT-45JAN01-KSTA,Will Prime Minister of the United Kingdom be the first to leave office?,Keir Starmer,Politics,66,69,34,31,65,0,10.17,16604,166.04,12326,2045-01-01T15:00:00Z,6896,44.028985507246375,218.1290322580645,False
KXRAMPBREX-40-RAMP,Will Ramp or Brex IPO first?,Ramp,Financials,91,98,9,2,96,0,3.23,8716,87.16,5434,2040-01-01T04:59:00Z,5068,1.9999999999999998,4802.0,False
KXRAMPBREX-40-BREX,Will Ramp or Brex IPO first?,Brex,Financials,0,3,100,97,3,200,-72.73,13320,133.2,5586,2040-01-01T04:59:00Z,5068,3168.666666666667,3.0309278350515467,False
KXOAIANTH-40-OAI,Will OpenAI or Anthropic IPO first?,,Financials,41,43,59,57,44,7.32,7.32,42166,421.66,19248,2040-01-01T04:59:00Z,5068,129.90697674418604,73.9298245614035,False
KXOAIANTH-40-ANTH,Will Open AI or Anthropic IPO first?,,Financials,65,69,35,31,65,0,12.07,44552,445.52,19260,2040-01-01T04:59:00Z,5068,44.028985507246375,218.1290322580645,False
KXFUSION-30-JAN01,When will nuclear fusion be achieved?,Before 2030,Science and Technology,43,45,57,55,47,0,0,26744,267.44,19176,2030-01-01T04:59:00Z,1416,119.77777777777779,80.18181818181819,False
KXFUSION-35-JAN01,When will nuclear fusion be achieved?,Before 2035,Science and Technology,46,49,54,51,46,0,-4.17,5618,56.18,3420,2035-01-01T04:59:00Z,3242,102.0,94.15686274509804,False
KXFUSION-40-JAN01,When will nuclear fusion be achieved?,Before 2040,Science and Technology,53,56,47,44,53,0,0,10508,105.08,8218,2040-01-01T04:59:00Z,5068,77.0,124.72727272727273,False
KXDEELRIP-40-DEEL,Will Deel or Rippling IPO first?,Deel,Financials,76,82,24,18,76,0,-7.32,5082,50.82,3748,2040-01-01T04:59:00Z,5068,21.51219512195122,446.4444444444444,False
KXDEELRIP-40-RIPP,Will Deel or Rippling IPO first?,Rippling,Financials,18,23,82,77,24,0,9.09,2872,28.72,1444,2040-01-01T04:59:00Z,5068,328.0869565217392,29.272727272727273,False
KXPOPCHANGESTATE10-35,Will  experience a population decrease of at least 10% between 2025 and 2035?,,Social,12,18,88,82,11,0,-8.33,1054,10.540000000000001,826,2036-12-30T15:00:00Z,3972,446.4444444444444,21.51219512195122,False
KXEARTHQUAKECALIFORNIA-35,Will there be an at least 8.0 magnitude earthquake in California before 2035?,Before 2035,Climate and Weather,19,25,81,75,25,0,31.58,35206,352.06,26102,2035-12-31T04:59:00Z,3606,294.0,32.666666666666664,False
KXROBOTMARS-35,Will a humanoid robot walk on Mars before a human does?,Before 2035,Science and Technology,46,49,54,51,49,0,2.08,65642,656.42,32152,2035-01-01T15:00:00Z,3243,102.0,94.15686274509804,False
KXPERFORMBONDSONG-35-DUA,Who will perform the next James Bond Song?,,Entertainment,29,31,71,69,34,0,0,12624,126.24000000000001,8128,2035-01-01T15:00:00Z,3243,218.1290322580645,44.028985507246375,False
KXPERFORMBONDSONG-35-LAN,Who will perform the next James Bond Song?,,Entertainment,17,24,83,76,17,0,-37.04,5644,56.44,2874,2035-01-01T15:00:00Z,3243,310.3333333333333,30.94736842105263,False
KXPERFORMBONDSONG-35-LAD,Who will perform the next James Bond Song?,,Entertainment,1,8,99,92,2,0,0,714,7.140000000000001,706,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-ARI,Who will perform the next James Bond Song?,,Entertainment,0,6,100,94,1,0,0,120,1.2,92,2035-01-01T15:00:00Z,3243,1535.3333333333333,6.25531914893617,False
KXPERFORMBONDSONG-35-WEE,Who will perform the next James Bond Song?,,Entertainment,3,11,97,89,2,0,-50,1276,12.76,1196,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXPERFORMBONDSONG-35-SZA,Who will perform the next James Bond Song?,,Entertainment,2,8,98,92,7,0,0,238,2.38,214,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-TAY,Who will perform the next James Bond Song?,,Entertainment,0,6,100,94,5,0,0,400,4.0,400,2035-01-01T15:00:00Z,3243,1535.3333333333333,6.25531914893617,False
KXPERFORMBONDSONG-35-SAM,Who will perform the next James Bond Song?,,Entertainment,0,7,100,93,6,0,0,152,1.52,116,2035-01-01T15:00:00Z,3243,1302.0000000000002,7.376344086021505,False
KXPERFORMBONDSONG-35-HAR,Who will perform the next James Bond Song?,,Entertainment,1,8,99,92,9,0,0,448,4.48,424,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-ED,Who will perform the next James Bond Song?,,Entertainment,0,8,100,92,8,0,0,286,2.86,262,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-COL,Who will perform the next James Bond Song?,,Entertainment,0,5,100,95,3,0,0,54,0.54,26,2035-01-01T15:00:00Z,3243,1862.0,5.157894736842105,False
KXPERFORMBONDSONG-35-U2,Who will perform the next James Bond Song?,,Entertainment,0,6,100,94,4,0,0,38,0.38,34,2035-01-01T15:00:00Z,3243,1535.3333333333333,6.25531914893617,False
KXPERFORMBONDSONG-35-BEY,Who will perform the next James Bond Song?,,Entertainment,0,4,100,96,4,0,0,102,1.02,78,2035-01-01T15:00:00Z,3243,2352.0,4.083333333333333,False
KXPERFORMBONDSONG-35-ELT,Who will perform the next James Bond Song?,,Entertainment,0,6,100,94,4,0,0,28,0.28,28,2035-01-01T15:00:00Z,3243,1535.3333333333333,6.25531914893617,False
KXPERFORMBONDSONG-35-LEW,Who will perform the next James Bond Song?,,Entertainment,1,6,99,94,5,0,0,28,0.28,28,2035-01-01T15:00:00Z,3243,1535.3333333333333,6.25531914893617,False
KXPERFORMBONDSONG-35-LOR,Who will perform the next James Bond Song?,,Entertainment,1,9,99,91,1,0,0,644,6.44,604,2035-01-01T15:00:00Z,3243,990.8888888888889,9.692307692307692,False
KXPERFORMBONDSONG-35-CHA,Who will perform the next James Bond Song?,,Entertainment,0,7,100,93,6,0,500,266,2.66,214,2035-01-01T15:00:00Z,3243,1302.0000000000002,7.376344086021505,False
KXPERFORMBONDSONG-35-SAB,Who will perform the next James Bond Song?,,Entertainment,2,8,98,92,8,0,33.33,548,5.48,380,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-MIL,Who will perform the next James Bond Song?,,Entertainment,1,8,99,92,5,0,0,162,1.62,142,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXPERFORMBONDSONG-35-OLI,Who will perform the next James Bond Song?,Olivia Dean,Entertainment,15,21,85,79,22,0,0,232,2.32,192,2035-01-01T15:00:00Z,3243,368.66666666666663,26.050632911392402,False
KXPERFORMBONDSONG-35-OAS,Who will perform the next James Bond Song?,Oasis,Entertainment,17,23,83,77,24,0,0,4374,43.74,1414,2035-01-01T15:00:00Z,3243,328.0869565217392,29.272727272727273,False
KXNEWPOPE-35-PPAR,Who will the next Pope be?,Pietro Parolin,World,12,16,88,84,16,0,45.45,8044,80.44,1606,2035-01-01T15:00:00Z,3243,514.5,18.666666666666664,False
KXNEWPOPE-35-PERD,Who will the next Pope be?,Peter Erd̦,World,1,5,99,95,5,0,400,2998,29.98,710,2035-01-01T15:00:00Z,3243,1862.0,5.157894736842105,False
KXNEWPOPE-35-LANT,Who will the next Pope be?,Luis Antonio Tagle,World,7,13,93,87,13,0,116.67,1928,19.28,1400,2035-01-01T15:00:00Z,3243,655.8461538461539,14.64367816091954,False
KXNEWPOPE-35-MZUP,Who will the next Pope be?,Matteo Zuppi,World,1,4,99,96,4,0,300,2382,23.82,906,2035-01-01T15:00:00Z,3243,2352.0,4.083333333333333,False
KXNEWPOPE-35-RLEO,Who will the next Pope be?,Raymond Leo Burke,World,1,4,99,96,4,0,300,1240,12.4,476,2035-01-01T15:00:00Z,3243,2352.0,4.083333333333333,False
KXJOHNNYDEPP-35-JOH,Will Johnny Depp be casted in the next Pirates of the Caribbean?,,Entertainment,47,50,53,50,51,0,2,26114,261.14,15054,2035-01-01T15:00:00Z,3243,98.0,98.0,False
KXBRUVSEAT-35,"Will Britain Restoring Underlying Values (""BRUV"") win a seat in the next U.K. general election?",Before 2035,Elections,0,3,100,97,4,0,300,30738,307.38,29968,2035-01-01T15:00:00Z,3243,3168.666666666667,3.0309278350515467,False
KXAFRICALEADEROUT-35-WR,Will William Ruto leave office next in this set?,,Politics,10,11,90,89,10,0,0,712,7.12,284,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXAFRICALEADEROUT-35-CR,Will Cyril Ramaphosa leave office next in this set?,,Politics,2,8,98,92,8,0,0,556,5.5600000000000005,512,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXAFRICALEADEROUT-35-AFES,Will Abdel Fattah el-Sisi leave office next in this set?,,Politics,2,8,98,92,2,0,0,44,0.44,20,2035-01-01T15:00:00Z,3243,1127.0,8.521739130434783,False
KXAFRICALEADEROUT-35-PK,Will Paul Kagame leave office next in this set?,,Politics,0,5,100,95,5,0,400,240,2.4,238,2035-01-01T15:00:00Z,3243,1862.0,5.157894736842105,False
KXAFRICALEADEROUT-35-TAS,Will Taye Atske Selassie leave office next in this set?,,Politics,1,5,99,95,5,0,0,98,0.98,96,2035-01-01T15:00:00Z,3243,1862.0,5.157894736842105,False
KXAFRICALEADEROUT-35-BT,Will Bola Tinubu leave office next in this set?,,Politics,27,32,73,68,32,0,0,434,4.34,402,2035-01-01T15:00:00Z,3243,208.25,46.11764705882353,False
KXAFRICALEADEROUT-35-FT,Will F̩lix Tshisekedi leave office next in this set?,,Politics,13,18,87,82,18,0,20,7036,70.36,6018,2035-01-01T15:00:00Z,3243,446.4444444444444,21.51219512195122,False
KXAFRICALEADEROUT-35-EM,Will Emmerson Mnangagwa leave office next in this set?,,Politics,12,17,88,83,17,0,0,1022,10.22,708,2035-01-01T15:00:00Z,3243,478.47058823529414,20.072289156626503,False
KXAFRICALEADEROUT-35-JM,Will John Mahama leave office next in this set?,,Politics,2,7,98,93,8,0,0,56,0.56,52,2035-01-01T15:00:00Z,3243,1302.0000000000002,7.376344086021505,False
KXAFRICALEADEROUT-35-AT,Will Abdelmadjid Tebboune leave office next in this set?,,Politics,2,7,98,93,8,0,0,50,0.5,46,2035-01-01T15:00:00Z,3243,1302.0000000000002,7.376344086021505,False
KXACTORSONNYCROCKETT-35-RYA,Will Ryan Gosling be casted in the next Miami Vice?,Ryan Gosling,Entertainment,14,22,86,78,23,0,0,2518,25.18,1766,2035-01-01T15:00:00Z,3243,347.45454545454544,27.641025641025642,False
KXACTORSONNYCROCKETT-35-OSC,Will Oscar Isaac be casted in the next Miami Vice?,Oscar Isaac,Entertainment,1,11,99,89,11,0,0,22,0.22,22,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXACTORSONNYCROCKETT-35-JAK,Will Jake Gyllenhaal be casted in the next Miami Vice?,Jake Gyllenhaal,Entertainment,1,11,99,89,11,0,0,110,1.1,34,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXACTORSONNYCROCKETT-35-PED,Will Pedro Pascal be casted in the next Miami Vice?,Pedro Pascal,Entertainment,3,14,97,86,15,0,0,992,9.92,550,2035-01-01T15:00:00Z,3243,602.0,15.953488372093025,False
KXACTORSONNYCROCKETT-35-MIL,Will Miles Teller be casted in the next Miami Vice?,Miles Teller,Entertainment,1,11,99,89,11,0,0,16,0.16,16,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXACTORSONNYCROCKETT-35-GLE,Will Glen Powell be casted in the next Miami Vice?,Glen Powell,Entertainment,28,37,72,63,37,0,-2.63,5712,57.120000000000005,2256,2035-01-01T15:00:00Z,3243,166.86486486486484,57.55555555555556,False
KXACTORSONNYCROCKETT-35-TAY,Will Taylor Kitsch be casted in the next Miami Vice?,Taylor Kitsch,Entertainment,1,11,99,89,1,0,0,460,4.6000000000000005,60,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXACTORSONNYCROCKETT-35-TOM,Will Tom Hardy be casted in the next Miami Vice?,Tom Hardy,Entertainment,11,12,89,88,12,0,1100,640,6.4,176,2035-01-01T15:00:00Z,3243,718.6666666666666,13.363636363636363,False
KXACTORSONNYCROCKETT-35-RIC,Will Richard Madden be casted in the next Miami Vice?,Richard Madden,Entertainment,1,12,99,88,11,0,0,100,1.0,100,2035-01-01T15:00:00Z,3243,718.6666666666666,13.363636363636363,False
KXACTORSONNYCROCKETT-35-GAR,Will Garrett Hedlund be casted in the next Miami Vice?,Garrett Hedlund,Entertainment,1,11,99,89,0,0,0,0,0.0,0,2035-01-01T15:00:00Z,3243,792.909090909091,12.112359550561798,False
KXFDATYPE1DIABETES-33,Will the FDA approve a cure for Type 1 Diabetes before 2033?,Before 2033,Health,33,40,67,60,34,-17.07,-17.07,10390,103.9,7912,2033-01-01T04:59:00Z,2512,147.0,65.33333333333333,True
EUCLIMATE-2030,Will the EU meet its climate goals?,By 2030,Climate and Weather,46,53,54,47,45,-16.67,-15.09,4894,48.94,1788,2032-12-31T15:00:00Z,2512,86.9056603773585,110.51063829787233,True
